"altersklasse_covid19","geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","entries_diff_abs","entries_diff_inz","entries_diff_pct","prct_diff","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_phase3","timeframe_28d","timeframe_14d"
"50 - 59","CH03",202102,280,9089,0.149,14.9,180565,155.07,5033.64,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",-173,-95.81,-38.2,-1.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"50 - 59","CH04",202102,400,12304,0.155,15.5,220632,181.3,5576.71,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",-239,-108.32,-37.4,-0.4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"50 - 59","CH05",202102,377,10919,0.178,17.8,183081,205.92,5964.03,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",-230,-125.63,-37.9,0.600000000000001,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"50 - 59","CH06",202102,288,6904,0.172,17.2,128765,223.66,5361.71,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",-115,-89.31,-28.5,0.0999999999999979,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"50 - 59","CH07",202102,122,4823,0.179,17.9,57478,212.26,8391.04,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",-99,-172.23,-44.8,-0.400000000000002,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"60 - 69","CH01",202102,285,12442,0.088,8.8,165141,172.58,7534.17,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",-68,-41.18,-19.3,-0.4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"60 - 69","CH02",202102,239,10220,0.08,8,220583,108.35,4633.18,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",-167,-75.71,-41.1,-1.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"60 - 69","CH03",202102,157,5289,0.084,8.4,135054,116.25,3916.21,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",-88,-65.16,-35.9,-0.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"60 - 69","CH04",202102,210,6786,0.081,8.1,151391,138.71,4482.43,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",-129,-85.21,-38.1,-0.4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"60 - 69","CH05",202102,209,6739,0.099,9.9,140553,148.7,4794.63,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",-141,-100.32,-40.3,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"60 - 69","CH06",202102,140,3878,0.084,8.4,93275,150.09,4157.6,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",-55,-58.97,-28.2,0.0999999999999996,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"60 - 69","CH07",202102,65,2714,0.096,9.6,41962,154.9,6467.76,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",-57,-135.84,-46.7,-0.500000000000002,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"70 - 79","CH01",202102,230,8719,0.071,7.1,128902,178.43,6764.05,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",-31,-24.05,-11.9,0.299999999999999,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"70 - 79","CH02",202102,213,7191,0.071,7.1,168953,126.07,4256.21,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",-93,-55.05,-30.4,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"70 - 79","CH03",202102,101,3174,0.054,5.4,100690,100.31,3152.25,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",-56,-55.61,-35.7,-0.3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"70 - 79","CH04",202102,128,4393,0.05,5,118213,108.28,3716.17,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",-72,-60.91,-36,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"70 - 79","CH05",202102,132,4238,0.062,6.2,102254,129.09,4144.58,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",-80,-78.24,-37.7,0.2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"70 - 79","CH06",202102,88,2380,0.053,5.3,66328,132.67,3588.23,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",-63,-94.99,-41.7,-1.1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"70 - 79","CH07",202102,60,2168,0.088,8.8,36178,165.85,5992.59,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",-51,-140.97,-45.9,-0.4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"80+","CH01",202102,229,9763,0.071,7.1,82172,278.68,11881.18,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",22,26.77,10.6,1.7,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"80+","CH02",202102,268,8368,0.089,8.9,104401,256.7,8015.25,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",-76,-72.8,-22.1,0.9,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"80+","CH03",202102,189,3900,0.101,10.1,64086,294.92,6085.57,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",-4,-6.24,-2.1,3.1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"80+","CH04",202102,191,5172,0.074,7.4,75487,253.02,6851.51,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",-84,-111.28,-30.5,0.499999999999999,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"80+","CH05",202102,163,4961,0.077,7.7,61914,263.27,8012.73,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",-160,-258.42,-49.5,-1.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"80+","CH06",202102,151,2921,0.09,9,40702,370.99,7176.55,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",-36,-88.45,-19.3,1.1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"80+","CH07",202102,75,2879,0.11,11,24908,301.11,11558.54,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",-48,-192.71,-39,0.800000000000001,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Unbekannt","CH01",202102,1,36,0,0,NA,NA,NA,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",1,NA,NA,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Unbekannt","CH02",202102,0,32,0,0,NA,NA,NA,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",-2,NA,-100,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Unbekannt","CH03",202102,0,14,0,0,NA,NA,NA,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",0,NA,NA,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Unbekannt","CH04",202102,1,14,0,0,NA,NA,NA,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",1,NA,NA,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Unbekannt","CH05",202102,0,12,0,0,NA,NA,NA,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",0,NA,NA,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Unbekannt","CH06",202102,0,5,0,0,NA,NA,NA,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",0,NA,NA,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Unbekannt","CH07",202102,0,6,0,0,NA,NA,NA,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-02",0,NA,NA,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH01",202103,67,1275,0.022,2.2,173090,38.71,736.61,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",20,11.56,42.6,0.7,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH02",202103,62,797,0.025,2.5,188465,32.9,422.89,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",27,14.33,77.1,1.3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH03",202103,73,890,0.042,4.2,117578,62.09,756.94,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",38,32.32,108.6,2.3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH04",202103,111,1223,0.046,4.6,162354,68.37,753.29,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",45,27.72,68.2,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH05",202103,27,538,0.014,1.4,118926,22.7,452.38,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",1,0.84,3.8,0.2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH06",202103,35,424,0.027,2.7,83130,42.1,510.04,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",8,9.62,29.6,1.1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH07",202103,10,226,0.023,2.3,29500,33.9,766.1,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",2,6.78,25,1.1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH01",202103,303,10716,0.097,9.7,177094,171.1,6051.02,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",6,3.39,2,0.500000000000002,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH02",202103,302,8882,0.12,12,185314,162.97,4792.95,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",12,6.48,4.1,2.3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH03",202103,192,4989,0.111,11.1,110658,173.51,4508.49,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",10,9.04,5.5,1.4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH04",202103,327,7629,0.136,13.6,141741,230.7,5382.35,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",61,43.03,22.9,3.3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH05",202103,216,5387,0.109,10.9,115449,187.1,4666.13,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",30,25.99,16.1,2.1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH06",202103,144,3348,0.111,11.1,80274,179.39,4170.72,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-37,-46.09,-20.4,0.299999999999999,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH07",202103,71,1795,0.162,16.2,33625,211.15,5338.29,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-2,-5.95,-2.7,5.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH01",202103,518,24348,0.167,16.7,213361,242.78,11411.65,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-41,-19.22,-7.3,-0.599999999999998,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH02",202103,451,18748,0.179,17.9,226221,199.36,8287.47,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-86,-38.02,-16,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH03",202103,289,9587,0.167,16.7,135477,213.32,7076.48,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-44,-32.48,-13.2,-1.1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH04",202103,349,14271,0.145,14.5,187257,186.37,7621.08,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-118,-63.02,-25.3,-3.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH05",202103,318,11125,0.161,16.1,146019,217.78,7618.87,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-83,-56.84,-20.7,-2.8,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH06",202103,210,7259,0.162,16.2,99820,210.38,7272.09,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-87,-87.16,-29.3,-1.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH07",202103,48,3528,0.11,11,37195,129.05,9485.15,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-20,-53.77,-29.4,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"30 - 39","CH01",202103,546,24537,0.176,17.6,238636,228.8,10282.19,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-5,-2.1,-0.9,0.599999999999998,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"30 - 39","CH02",202103,400,16577,0.159,15.9,254979,156.88,6501.32,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-72,-28.23,-15.3,0.0999999999999996,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"30 - 39","CH03",202103,293,9374,0.169,16.9,166281,176.21,5637.45,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-6,-3.61,-2,0.900000000000002,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"30 - 39","CH04",202103,411,15615,0.171,17.1,253964,161.83,6148.51,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-53,-20.87,-11.4,-0.899999999999999,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"30 - 39","CH05",202103,318,10061,0.161,16.1,161609,196.77,6225.52,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-11,-6.81,-3.3,0.600000000000001,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"30 - 39","CH06",202103,193,6415,0.149,14.9,113785,169.62,5637.83,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-67,-58.88,-25.8,-0.700000000000001,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"30 - 39","CH07",202103,53,3686,0.121,12.1,39922,132.76,9233,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-46,-115.22,-46.5,-2.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"40 - 49","CH01",202103,513,23289,0.165,16.5,238954,214.69,9746.23,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-20,-8.37,-3.8,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"40 - 49","CH02",202103,367,15997,0.146,14.6,252753,145.2,6329.1,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-59,-23.34,-13.8,0.4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"40 - 49","CH03",202103,262,8662,0.151,15.1,160768,162.97,5387.89,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-35,-21.77,-11.8,-0.800000000000001,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"40 - 49","CH04",202103,414,13467,0.172,17.2,228236,181.39,5900.47,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",23,10.08,5.9,2.1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"40 - 49","CH05",202103,322,9271,0.163,16.3,154008,209.08,6019.82,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",25,16.23,8.4,2.3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"40 - 49","CH06",202103,200,5871,0.154,15.4,112883,177.17,5200.96,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-38,-33.67,-16,1.1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"40 - 49","CH07",202103,75,4442,0.172,17.2,50723,147.86,8757.37,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-35,-69,-31.8,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"50 - 59","CH01",202103,464,22931,0.149,14.9,237401,195.45,9659.18,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-37,-15.59,-7.4,-0.600000000000001,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"50 - 59","CH02",202103,407,17693,0.162,16.2,284915,142.85,6209.92,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-108,-37.91,-21,-1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"50 - 59","CH03",202103,253,9342,0.146,14.6,180565,140.12,5173.76,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-27,-14.95,-9.6,-0.299999999999999,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"50 - 59","CH04",202103,327,12631,0.136,13.6,220632,148.21,5724.92,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-73,-33.09,-18.2,-1.9,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"50 - 59","CH05",202103,337,11256,0.171,17.1,183081,184.07,6148.1,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-40,-21.85,-10.6,-0.699999999999999,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"50 - 59","CH06",202103,210,7114,0.162,16.2,128765,163.09,5524.79,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-78,-60.57,-27.1,-1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"50 - 59","CH07",202103,75,4898,0.172,17.2,57478,130.48,8521.52,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-47,-81.78,-38.5,-0.699999999999999,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"60 - 69","CH01",202103,292,12734,0.094,9.4,165141,176.82,7710.99,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",7,4.24,2.5,0.600000000000001,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"60 - 69","CH02",202103,214,10434,0.085,8.5,220583,97.02,4730.19,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-25,-11.33,-10.5,0.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"60 - 69","CH03",202103,155,5444,0.089,8.9,135054,114.77,4030.98,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-2,-1.48,-1.3,0.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"60 - 69","CH04",202103,193,6979,0.08,8,151391,127.48,4609.92,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-17,-11.23,-8.1,-0.0999999999999996,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"60 - 69","CH05",202103,199,6938,0.101,10.1,140553,141.58,4936.22,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-10,-7.12,-4.8,0.200000000000001,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"60 - 69","CH06",202103,109,3987,0.084,8.4,93275,116.86,4274.46,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-31,-33.23,-22.1,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"60 - 69","CH07",202103,36,2750,0.082,8.2,41962,85.79,6553.55,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-29,-69.11,-44.6,-1.4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"70 - 79","CH01",202103,194,8913,0.062,6.2,128902,150.5,6914.56,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-36,-27.93,-15.7,-0.899999999999999,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"70 - 79","CH02",202103,116,7307,0.046,4.6,168953,68.66,4324.87,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-97,-57.41,-45.5,-2.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"70 - 79","CH03",202103,83,3257,0.048,4.8,100690,82.43,3234.68,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-18,-17.88,-17.8,-0.600000000000001,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"70 - 79","CH04",202103,109,4502,0.045,4.5,118213,92.21,3808.38,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-19,-16.07,-14.8,-0.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"70 - 79","CH05",202103,110,4348,0.056,5.6,102254,107.58,4252.16,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-22,-21.51,-16.7,-0.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"70 - 79","CH06",202103,74,2454,0.057,5.7,66328,111.57,3699.79,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-14,-21.1,-15.9,0.4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"70 - 79","CH07",202103,37,2205,0.085,8.5,36178,102.27,6094.86,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-23,-63.58,-38.3,-0.299999999999999,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"80+","CH01",202103,214,9977,0.069,6.9,82172,260.43,12141.61,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-15,-18.25,-6.6,-0.199999999999999,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"80+","CH02",202103,201,8569,0.08,8,104401,192.53,8207.78,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-67,-64.17,-25,-0.9,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"80+","CH03",202103,134,4034,0.077,7.7,64086,209.09,6294.67,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-55,-85.83,-29.1,-2.4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"80+","CH04",202103,163,5335,0.068,6.8,75487,215.93,7067.44,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-28,-37.09,-14.7,-0.599999999999999,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"80+","CH05",202103,127,5088,0.064,6.4,61914,205.12,8217.85,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-36,-58.15,-22.1,-1.3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"80+","CH06",202103,120,3041,0.093,9.3,40702,294.83,7471.38,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-31,-76.16,-20.5,0.300000000000001,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"80+","CH07",202103,32,2911,0.073,7.3,24908,128.47,11687.01,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-43,-172.64,-57.3,-3.7,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Unbekannt","CH01",202103,0,36,0,0,NA,NA,NA,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-1,NA,-100,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Unbekannt","CH02",202103,0,32,0,0,NA,NA,NA,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",0,NA,NA,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Unbekannt","CH03",202103,0,14,0,0,NA,NA,NA,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",0,NA,NA,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Unbekannt","CH04",202103,0,14,0,0,NA,NA,NA,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",-1,NA,-100,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Unbekannt","CH05",202103,0,12,0,0,NA,NA,NA,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",0,NA,NA,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Unbekannt","CH06",202103,0,5,0,0,NA,NA,NA,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",0,NA,NA,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Unbekannt","CH07",202103,0,6,0,0,NA,NA,NA,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-03",0,NA,NA,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH01",202104,112,1387,0.038,3.8,173090,64.71,801.32,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-04",45,26,67.2,1.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH02",202104,70,867,0.03,3,188465,37.14,460.03,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-04",8,4.24,12.9,0.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH03",202104,77,967,0.056,5.6,117578,65.49,822.43,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-04",4,3.4,5.5,1.4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH04",202104,90,1313,0.046,4.6,162354,55.43,808.73,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-04",-21,-12.94,-18.9,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH05",202104,56,594,0.034,3.4,118926,47.09,499.47,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-04",29,24.39,107.4,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH06",202104,36,460,0.038,3.8,83130,43.31,553.35,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2021-04",1,1.21,2.9,1.1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
